x_mm,y_mm,z_mm
8.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.060000000000000000e+02
8.000000000000000000e+01,7.200000000000000000e+01,4.050000000000000000e+02
7.500000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
4.000000000000000000e+00,9.800000000000000000e+01,4.500000000000000000e+02
6.000000000000000000e+00,5.100000000000000000e+01,4.410000000000000000e+02
7.000000000000000000e+01,8.700000000000000000e+01,2.700000000000000000e+02
7.200000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
7.600000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,8.700000000000000000e+01,2.590000000000000000e+02
7.700000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.500000000000000000e+01,4.040000000000000000e+02
7.200000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.300000000000000000e+01,7.600000000000000000e+01,4.050000000000000000e+02
7.200000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.200000000000000000e+01,4.060000000000000000e+02
7.900000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.070000000000000000e+02
7.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.500000000000000000e+01,1.500000000000000000e+02,4.390000000000000000e+02
7.300000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.040000000000000000e+02
7.400000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.060000000000000000e+02
8.100000000000000000e+01,8.100000000000000000e+01,4.080000000000000000e+02
1.300000000000000000e+01,3.600000000000000000e+01,4.400000000000000000e+02
7.900000000000000000e+01,7.100000000000000000e+01,4.070000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.060000000000000000e+02
8.300000000000000000e+01,7.700000000000000000e+01,4.060000000000000000e+02
2.000000000000000000e+00,8.600000000000000000e+01,4.330000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.070000000000000000e+02
8.100000000000000000e+01,8.100000000000000000e+01,4.080000000000000000e+02
8.000000000000000000e+01,7.200000000000000000e+01,4.070000000000000000e+02
7.100000000000000000e+01,8.700000000000000000e+01,2.500000000000000000e+02
8.000000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.070000000000000000e+02
7.600000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.200000000000000000e+01,4.040000000000000000e+02
7.900000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.060000000000000000e+02
8.200000000000000000e+01,7.500000000000000000e+01,4.060000000000000000e+02
8.000000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.800000000000000000e+01,2.710000000000000000e+02
7.100000000000000000e+01,7.900000000000000000e+01,4.070000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.050000000000000000e+02
7.700000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.500000000000000000e+01,4.050000000000000000e+02
7.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,8.100000000000000000e+01,4.050000000000000000e+02
7.900000000000000000e+01,8.200000000000000000e+01,4.060000000000000000e+02
7.900000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
8.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.700000000000000000e+01,2.500000000000000000e+02
7.200000000000000000e+01,8.000000000000000000e+01,4.080000000000000000e+02
7.900000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
7.200000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.080000000000000000e+02
7.000000000000000000e+01,7.700000000000000000e+01,4.050000000000000000e+02
2.000000000000000000e+00,8.900000000000000000e+01,4.450000000000000000e+02
7.700000000000000000e+01,8.300000000000000000e+01,4.060000000000000000e+02
7.500000000000000000e+01,8.200000000000000000e+01,4.050000000000000000e+02
6.900000000000000000e+01,8.600000000000000000e+01,2.550000000000000000e+02
8.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.100000000000000000e+01,4.060000000000000000e+02
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.070000000000000000e+02
7.500000000000000000e+01,8.200000000000000000e+01,4.060000000000000000e+02
7.500000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.040000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.070000000000000000e+02
7.600000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.070000000000000000e+02
4.000000000000000000e+00,9.500000000000000000e+01,4.420000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.600000000000000000e+01,4.080000000000000000e+02
7.400000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
1.090000000000000000e+02,9.000000000000000000e+00,4.350000000000000000e+02
7.800000000000000000e+01,8.200000000000000000e+01,4.070000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.040000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
4.000000000000000000e+00,9.900000000000000000e+01,4.500000000000000000e+02
7.500000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
7.300000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,8.000000000000000000e+01,4.070000000000000000e+02
8.300000000000000000e+01,7.700000000000000000e+01,4.070000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,8.100000000000000000e+01,4.080000000000000000e+02
7.200000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,8.800000000000000000e+01,2.650000000000000000e+02
6.400000000000000000e+01,1.500000000000000000e+02,4.400000000000000000e+02
7.700000000000000000e+01,8.800000000000000000e+01,2.640000000000000000e+02
7.900000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.060000000000000000e+02
7.700000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.600000000000000000e+01,4.050000000000000000e+02
7.100000000000000000e+01,8.000000000000000000e+01,4.060000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.060000000000000000e+02
7.800000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.050000000000000000e+02
6.400000000000000000e+01,1.500000000000000000e+02,4.410000000000000000e+02
7.200000000000000000e+01,8.000000000000000000e+01,4.070000000000000000e+02
8.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
3.400000000000000000e+01,1.500000000000000000e+01,4.400000000000000000e+02
8.200000000000000000e+01,7.800000000000000000e+01,4.070000000000000000e+02
8.200000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
7.100000000000000000e+01,7.900000000000000000e+01,4.060000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.200000000000000000e+01,4.050000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.060000000000000000e+02
7.000000000000000000e+01,7.400000000000000000e+01,4.040000000000000000e+02
8.000000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.300000000000000000e+01,4.060000000000000000e+02
2.000000000000000000e+00,8.700000000000000000e+01,4.380000000000000000e+02
7.400000000000000000e+01,8.200000000000000000e+01,4.060000000000000000e+02
6.000000000000000000e+01,3.000000000000000000e+00,4.360000000000000000e+02
4.000000000000000000e+00,9.600000000000000000e+01,4.450000000000000000e+02
7.000000000000000000e+01,8.700000000000000000e+01,2.700000000000000000e+02
7.300000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.700000000000000000e+01,2.540000000000000000e+02
7.000000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.400000000000000000e+01,4.040000000000000000e+02
7.500000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
5.000000000000000000e+00,5.300000000000000000e+01,4.420000000000000000e+02
2.000000000000000000e+00,6.600000000000000000e+01,4.310000000000000000e+02
4.000000000000000000e+00,5.400000000000000000e+01,4.560000000000000000e+02
